"","id","datetime","user","text","date","hour"
"3532","360362168975237120",2013-07-25 07:33:00,"metagenomics","#microbiome Marine nematodes have a microbiome too (and it's way cooler than yours) - Deep-Sea News http://ow.ly/2yD0LN",2013-07-25,7
"3533","360362318372159488",2013-07-25 07:34:00,"metagenomics","#IBD Transcutaneous Bowel Sonography for Inflammatory Bowel Disease Is Sensitive ... - Journal of Ultrasound in Me... http://ow.ly/2yD0Av",2013-07-25,7
"3534","360380201676443648",2013-07-25 08:45:00,"metagenomics","#microecology Scientists discover genes involved in immunity of sea fans to coral diseases - http://Phys.Org http://ow.ly/2yD6U7",2013-07-25,8
"3535","360422396278222848",2013-07-25 11:32:00,"NeerjaKatiyar","Comparative metagenomics: natural populations of induced prophages demonstrate highly unique, lower diversity ... http://1.usa.gov/1bRa3Po",2013-07-25,11
"3536","360424153293127680",2013-07-25 11:39:00,"metagenomics","#microbiome Can Human Explorers Keep Mars Clean of Microbes, For Science? - Science 2.0 http://ow.ly/2yDoDz",2013-07-25,11
"3537","360433950772051968",2013-07-25 12:18:00,"pathogenomenick","Seems like people not too happy with the DTRA metagenomics thing. From an outside POV it did look rather disorganised http://news.sciencemag.org/2013/07/top-contenders-blast-pentagons-new-dna-prize",2013-07-25,12
"3538","360453704803024896",2013-07-25 13:37:00,"metagenomics","#metagenome Microbial who-done-it for biofuels - Nanowerk - NanowerkMicrobial who-done-it for biofuelsNanowerkWork... http://ow.ly/2yDA1t",2013-07-25,13
"3539","360466333839798272",2013-07-25 14:27:00,"davidmanly","One of the best names of a metagenomics technique is ""shotgun sequencing""",2013-07-25,14
"3540","360470697354596352",2013-07-25 14:44:00,"metagenomics","#IBD Video Release -- Help Yourself While Helping Others: The Personal Benefits of ... - GlobeNewswire (press rele... http://ow.ly/2yDGph",2013-07-25,14
"3541","360474890450644992",2013-07-25 15:01:00,"microbiaki","Karen Lloyd ""Opening the black box of carbon degradation pathways in marine sediments through single cell genomics and metagenomics""",2013-07-25,15
"3542","360482561341919232",2013-07-25 15:31:00,"metagenomics","#microbiome Condoms May Boost Beneficial Vaginal Bacteria - http://LiveScience.com http://ow.ly/2yDMnA",2013-07-25,15
"3543","360494648575266816",2013-07-25 16:19:00,"metagenomics","[PubMed] Colonic bacterial metabolites and human health. http://1.usa.gov/14b87rS",2013-07-25,16
"3544","360494649980354560",2013-07-25 16:19:00,"metagenomics","[PubMed] Antibiotic resistance in probiotic bacteria. http://1.usa.gov/14b87Ie",2013-07-25,16
"3545","360494653126094848",2013-07-25 16:19:00,"metagenomics","[PubMed] The C-Type Lectin Receptor SIGNR3 Binds to Fungi Present in Commensal Microbiota and Influences Immun... http://1.usa.gov/14Ne0BS",2013-07-25,16
"3546","360559685402763264",2013-07-25 20:38:00,"metagenomics","#microbiota Lack of contact with nature 'increasing allergies' - Beirut-Online News http://ow.ly/2yEbjj",2013-07-25,20
"3547","360559685675384832",2013-07-25 20:38:00,"metagenomics","#microbiome uBiome: Ethical Lapse or Not? - Scientific American (blog) http://ow.ly/2yEbji",2013-07-25,20
"3548","360571005229469696",2013-07-25 21:23:00,"metagenomics","#microecology Glimpse Into Untapped Biodiversity Offered By Newly Discovered Marine Viruses - RedOrbit http://ow.ly/2yEeRX",2013-07-25,21
"3549","360609683767181312",2013-07-25 23:57:00,"apadr007","teasing apart bacterial populations for biofuel purposes using proteo/metagenomics #syntheticbiology @ScienceDaily  http://goo.gl/e0xm6a",2013-07-25,23
"3550","360672527997075456",2013-07-26 04:06:00,"Bacterioskeptic","RT @pathogenomenick: Seems like people not too happy with the DTRA metagenomics thing. From an outside POV it did look rather disorganised http://t.co/RsCIaCHEtq",2013-07-26,4
"3551","360678768597155840",2013-07-26 04:31:00,"metagenomics","#microecology Climate change will alter the soil that feeds us - http://PallTimes.com (subscription) http://ow.ly/2yEBUr",2013-07-26,4
"3552","360755112437755904",2013-07-26 09:34:00,"metagenomics","#microecology What really lies beneath? - Planet Earth - What really lies beneath?Planet EarthThe way Earth&#39;s ... http://ow.ly/2yEYMD",2013-07-26,9
"3553","360820921549860864",2013-07-26 13:56:00,"Nod_of_Science","#Métagénome intestinal, cet organe impalpable : http://www.inra.fr/Grand-public/Alimentation-et-sante/Toutes-les-actualites/Metagenome-intestinal #metagenomics @Inra_France @MetaHIT #santé",2013-07-26,13
"3554","360859568705777664",2013-07-26 16:30:00,"metagenomics","[PubMed] Molecular studies neglect Gram negative-like populations in the human gut microbiota. http://1.usa.gov/14gGkpO",2013-07-26,16
"3555","360859570349944832",2013-07-26 16:30:00,"metagenomics","[PubMed] Shaping the (auto)immune response in the gut: the role of intestinal immune regulation in the prevent... http://1.usa.gov/14gGldn",2013-07-26,16
"3556","360861216475840512",2013-07-26 16:36:00,"metagenomics","#microbiome Implications for Deciphering Differences in Disease Susceptibility, Drug ... - Newswise (press release... http://ow.ly/2yFAl8",2013-07-26,16
"3557","360933053331288064",2013-07-26 21:22:00,"metagenomics","#microecology Science Microvita Health and Food - SpeakingTree (blog) http://ow.ly/2yFWHU",2013-07-26,21
"3558","360933053524221952",2013-07-26 21:22:00,"metagenomics","#microbiome Evolution on the Inside Track: Penn Study Shows How Viruses in Gut Bacteria ... - http://HealthCanal.com http://ow.ly/2yFWHT",2013-07-26,21
"3559","360950228901314560",2013-07-26 22:30:00,"metagenomics","#microbiome Evolution on the inside track: How viruses in gut bacteria change over time - Science Daily (press rel... http://ow.ly/2yFY4k",2013-07-26,22
"3560","360977670449790976",2013-07-27 00:19:00,"ScorpioCMI","Critical Materials Investment is out! http://paper.li/ScorpioCMI/1356664525 ▸ Top stories today via @metagenomics",2013-07-27,0
